,wellbore.name,wellbore.type,wellbore.fluids,wellbore.list_name,wellbore.well_name,wellbore.rms_name,wellbore.short_name,wellbore.pick_name,wellbore.pick_md
0,PR90Y1,planned,,AMAP,PR90Y1,PR90Y1,PR90Y1,toplowerheimdal--depthsurface,2979.3242392415964
1,PR64Y1,planned,,AMAP,PR64Y1,PR64Y1,PR64Y1,toplowerheimdal--depthsurface,3395.3674970966194
2,PR85Y2,planned,,AMAP,PR85Y2,PR85Y2,PR85Y2,toplowerheimdal--depthsurface,2115.378111164277
3,PR82Y2,planned,,AMAP,PR82Y2,PR82Y2,PR82Y2,toplowerheimdal--depthsurface,1853.063347875066
4,PR59Y1,planned,,AMAP,PR59Y1,PR59Y1,PR59Y1,toplowerheimdal--depthsurface,2914.0380253852877
5,PR88Y2,planned,,AMAP,PR88Y2,PR88Y2,PR88Y2,toplowerheimdal--depthsurface,2055.7779488891183
6,PR87Y2,planned,,AMAP,PR87Y2,PR87Y2,PR87Y2,toplowerheimdal--depthsurface,4181.159263224021
7,PR77Y2,planned,,AMAP,PR77Y2,PR77Y2,PR77Y2,toplowerheimdal--depthsurface,2910.929338296621
8,PR83Y2,planned,,AMAP,PR83Y2,PR83Y2,PR83Y2,toplowerheimdal--depthsurface,2035.009175804688
9,PR73Y2,planned,,AMAP,PR73Y2,PR73Y2,PR73Y2,toplowerheimdal--depthsurface,3220.8064561702745
10,PR80Y1,planned,,AMAP,PR80Y1,PR80Y1,PR80Y1,toplowerheimdal--depthsurface,1923.6158634437368
11,PR79Y1,planned,,AMAP,PR79Y1,PR79Y1,PR79Y1,toplowerheimdal--depthsurface,1901.6266197468492
12,PR90Y2,planned,,AMAP,PR90Y2,PR90Y2,PR90Y2,toplowerheimdal--depthsurface,2979.3242392415964
13,PR79Y2,planned,,AMAP,PR79Y2,PR79Y2,PR79Y2,toplowerheimdal--depthsurface,1901.6266197167015
14,PR83Y1,planned,,AMAP,PR83Y1,PR83Y1,PR83Y1,toplowerheimdal--depthsurface,2035.009175804688
15,PR78Y3,planned,,AMAP,PR78Y3,PR78Y3,PR78Y3,toplowerheimdal--depthsurface,2836.4554405819695
16,PR67Y3,planned,,AMAP,PR67Y3,PR67Y3,PR67Y3,toplowerheimdal--depthsurface,4099.683915170316
17,PR87Y3,planned,,AMAP,PR87Y3,PR87Y3,PR87Y3,toplowerheimdal--depthsurface,4181.159117759161
18,PR76Y2,planned,,AMAP,PR76Y2,PR76Y2,PR76Y2,toplowerheimdal--depthsurface,2030.2571293898236
19,PR83Y3,planned,,AMAP,PR83Y3,PR83Y3,PR83Y3,toplowerheimdal--depthsurface,2035.0091748545856
20,PR86Y2,planned,,AMAP,PR86Y2,PR86Y2,PR86Y2,toplowerheimdal--depthsurface,2237.9616579055823
21,PR85Y1,planned,,AMAP,PR85Y1,PR85Y1,PR85Y1,toplowerheimdal--depthsurface,2115.3781142850294
22,PR80Y3,planned,,AMAP,PR80Y3,PR80Y3,PR80Y3,toplowerheimdal--depthsurface,1923.6158637923809
23,PR73Y1,planned,,AMAP,PR73Y1,PR73Y1,PR73Y1,toplowerheimdal--depthsurface,3220.8064561702745
24,PR86Y3,planned,,AMAP,PR86Y3,PR86Y3,PR86Y3,toplowerheimdal--depthsurface,2237.9616579055823
25,PR78Y4,planned,,AMAP,PR78Y4,PR78Y4,PR78Y4,toplowerheimdal--depthsurface,2836.45741583709
26,PR91Y1,planned,,AMAP,PR91Y1,PR91Y1,PR91Y1,toplowerheimdal--depthsurface,4202.942523861275
