PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-1 Y1,NO 25/11-G-1 Y,2008-05-22,,0.0,0.0,29603765.0,314447687.0,156718320.0,318456.2,1892992.42,1062916.56,6306558.390000001,1869713.85,2040006.9700000002,1626110.56,34891088.56,25522758.77,73204186.94,20376454.17,51133198.64,721014214.03
NO 25/11-G-2 BY1,NO 25/11-G-2 BY,2015-05-18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384264.1099999999,2222296.05,1821060.0000000002,13989221.32,9934734.93,41001211.57,27576468.840000004,65368037.75,28331387.2,51692523.66,243321205.43
NO 25/11-G-2 Y1,NO 25/11-G-2 Y,2007-08-05,2014-12-08,0.0,0.0,106068175.0,226291017.0,142827957.0,30265590.330943562,1159478.8399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506612218.1709436
NO 25/11-G-3 AY1T2,NO 25/11-G-3 AY,2010-04-09,,0.0,0.0,0.0,29771126.0,391482977.0,275223158.06915426,86227849.86000001,43279311.03,118678293.31,37966737.43,63744729.739999995,40182243.95,61170899.54,41380896.1,77752363.53999999,40270954.32,29331784.699999996,1336463324.589154
NO 25/11-G-4,NO 25/11-G-4,2015-02-18,2015-02-27,0.0,0.0,0.0,0.0,0.0,0.0,679832.1200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679832.12
NO 25/11-G-5 BY1T2,NO 25/11-G-5 BY,2012-01-16,2018-08-30,0.0,0.0,0.0,0.0,291526417.0,288651269.43120503,184910684.38,81253381.30000001,145871947.85999998,52186112.57999999,131769916.32999998,70756153.63000001,0.0,348119.19999999995,0.0,0.0,0.0,1247274001.711205
NO 25/11-G-5 CY1,NO 25/11-G-5 CY,2019-05-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7707483.510000001,33628418.019999996,41335901.53
NO 25/11-G-5 T2,NO 25/11-G-5,2005-03-19,2011-03-12,4113014.0,51238039.0,36463331.0,781489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92595873.0
NO 25/11-G-6,NO 25/11-G-6,2004-09-01,2016-05-15,9369285.0,72509417.0,107810516.0,100545387.0,34283001.0,31733323.589611776,19343351.560000002,302883.14,23190037.79,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399087244.8296118
NO 25/11-G-6 AY1,NO 25/11-G-6 AY,2016-08-30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68689.12,1782994.21,1087404.92,2870313.38,2828512.72,22998674.12,30080978.51,45977775.51,107695342.49
NO 25/11-G-7 AY1T2,NO 25/11-G-7 AY,2010-12-11,2019-05-31,0.0,0.0,0.0,10581681.0,10149217.0,1516399.5628502083,526564.5900000001,1750123.0,2128630.54,591290.5,2285315.27,1153868.7300000002,1826999.3800000001,587130.55,841771.75,25028.17,0.0,33964020.042850204
NO 25/11-G-7 CY1,NO 25/11-G-7 CY,2020-02-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295156.49,1295156.49
NO 25/11-G-8 BY1,NO 25/11-G-8 BY,2015-08-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390884.15,80559773.53999999,54955906.57,100094310.92000002,25071841.76,46120872.82,19581452.11,29322933.03,16942280.379999995,32264773.73,405305029.01
NO 25/11-G-8 T2,NO 25/11-G-8,2005-12-06,2015-04-27,0.0,31039052.0,194228920.0,158025678.0,133265645.0,70568758.87736616,42934259.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630062313.7373662
NO 25/11-G-9,NO 25/11-G-9,2004-06-02,2017-11-16,17954050.0,72174466.0,76086487.0,87325541.0,66918661.0,9838250.249694547,391.61,0.0,4409.349999999999,3202.63,162.44,0.0,21.63,0.0,0.0,0.0,0.0,330305642.90969455
NO 25/11-G-10 AY1,NO 25/11-G-10 AY,2019-08-22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380299.29000000004,54940076.68,55320375.97
NO 25/11-G-10 Y1,NO 25/11-G-10 Y,2006-03-08,2017-06-20,0.0,33946006.0,229447926.0,239334202.0,126741211.0,53364196.5893753,43037609.0,20600195.560000002,59398261.03,18643.11,885.44,963.7,0.0,0.0,0.0,0.0,0.0,805890099.4293754
NO 25/11-G-11 BY1,NO 25/11-G-11 BY,2013-07-18,,0.0,0.0,0.0,0.0,0.0,118114150.82,150445864.77,63691554.75,133673617.94,74875191.72999999,120106419.55000001,58903735.03,79125707.36000001,22716596.21,64830566.3,32896083.24,27818783.37,947198271.07
NO 25/11-G-11 BY1T4,NO 25/11-G-11 BY,2004-11-03,2013-06-28,5037812.0,28719656.0,55595054.0,45866163.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135219808.0
