PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-1 Y1,NO 25/11-G-1 Y,2008-05-22,,0.0,0.0,1439625.0,2029761.0,419162.0,3419.6896690113676,4124.09791962065,20726.13383964516,107443.9442584147,70309.59999999999,88011.62,32469.13,210223.47999999998,98717.27,163675.43,38659.259999999995,89782.7,4816110.3556866925
NO 25/11-G-2 BY1,NO 25/11-G-2 BY,2015-05-18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86244.18144737743,161954.0955993168,121831.64000000003,374937.52,255023.94000000003,430264.93,203932.83999999997,251633.66,93945.2,135069.51,2114837.5170466946
NO 25/11-G-2 Y1,NO 25/11-G-2 Y,2007-08-05,2014-12-08,0.0,0.0,1470891.0,916371.0,294843.0,46785.415448902924,5408.76804007178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734299.1834889743
NO 25/11-G-3 AY1T2,NO 25/11-G-3 AY,2010-04-09,,0.0,0.0,0.0,1846283.0,1836196.0,448809.31359269784,156785.5344892728,77624.09199582154,153607.7707469121,50249.02,161792.83000000002,55443.51999999999,86261.66,44332.090000000004,92505.9,31645.899999999998,38196.17,5079732.800824705
NO 25/11-G-4,NO 25/11-G-4,2015-02-18,2015-02-27,0.0,0.0,0.0,0.0,0.0,0.0,221.658839038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.658839038
NO 25/11-G-5 BY1T2,NO 25/11-G-5 BY,2012-01-16,2018-08-30,0.0,0.0,0.0,0.0,1578953.0,572206.4267058859,275444.5256700757,116476.76216389408,204911.4083893568,68249.47999999998,142096.61000000002,44502.12999999999,0.0,77.35,0.0,0.0,0.0,3002917.692929212
NO 25/11-G-5 CY1,NO 25/11-G-5 CY,2019-05-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205713.49,240216.3,445929.79
NO 25/11-G-5 T2,NO 25/11-G-5,2005-03-19,2011-02-27,319343.0,1604044.0,207668.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2131489.0
NO 25/11-G-6,NO 25/11-G-6,2004-09-01,2016-05-15,657399.0,1940561.0,858389.0,398168.0,314762.0,140476.02542699355,67698.55331816079,1965.9004008116399,50083.48732501288,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4429503.016470979
NO 25/11-G-6 AY1,NO 25/11-G-6 AY,2016-08-30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.48,121695.36,71194.83999999998,190787.10000000003,87590.29,133246.06,57720.840000000004,62976.27999999999,729810.25
NO 25/11-G-7 AY1T2,NO 25/11-G-7 AY,2010-12-12,2019-05-31,0.0,0.0,0.0,578478.0,567752.0,92154.41892154388,34405.447474052875,107900.51705791899,153975.29386113494,39695.78999999999,137755.47,76599.34,121977.73000000001,38582.57000000001,53571.130000000005,1738.69,0.0,2004586.3973146507
NO 25/11-G-7 CY1,NO 25/11-G-7 CY,2020-02-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78401.79,78401.79
NO 25/11-G-8 BY1,NO 25/11-G-8 BY,2015-08-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30460.9213717625,194931.4870526446,75008.67,109730.57,33141.92,47926.979999999996,20759.87,35533.09,20338.789999999997,44612.93,612445.2284244071
NO 25/11-G-8 T2,NO 25/11-G-8,2005-12-06,2015-04-27,0.0,1760768.0,1475712.0,494549.0,261813.0,135195.6309271229,64836.95563306651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4192874.5865601893
NO 25/11-G-9,NO 25/11-G-9,2004-06-02,2017-11-16,1225353.0,1578571.0,526403.0,262894.0,172606.0,11115.064219767304,7.4884844232,0.0,3.5513295708999997,2.08,7.28,0.0,0.01,0.0,0.0,0.0,0.0,3776962.4740337613
NO 25/11-G-10 AY1,NO 25/11-G-10 AY,2019-08-22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28240.56,259101.56,287342.12
NO 25/11-G-10 Y1,NO 25/11-G-10 Y,2006-03-05,2017-06-20,0.0,2126288.0,2054965.0,566280.0,610216.0,181275.39563239348,94675.64005456836,54550.7519359736,74725.111853146,65.16,3.59,0.47,0.0,0.0,0.0,0.0,0.0,5763045.119476082
NO 25/11-G-11 BY1,NO 25/11-G-11 BY,2013-07-21,,0.0,0.0,0.0,0.0,0.0,467774.54572254873,215556.49073046818,87381.58995765021,160877.83709491784,81191.48999999999,156891.73,82819.87,120607.66000000002,58945.47000000001,99072.49,44542.509999999995,41492.31,1617153.993505585
NO 25/11-G-11 BY1T4,NO 25/11-G-11 BY,2004-11-03,2013-06-28,350677.0,833401.0,299119.0,83413.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566647.0
NO 25/11-G-12 AY1,NO 25/11-G-12 AY,2016-12-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71176.7,97940.16,341413.24,138158.13999999998,178998.2,81021.65000000001,97712.81,1006420.8999999999
NO 25/11-G-12 Y1T3,NO 25/11-G-12 Y,2006-12-24,2016-09-17,0.0,402617.0,1646796.0,721541.0,281079.0,121570.36167866323,80079.03465241214,36958.6705537874,72167.15643042803,31408.55,1.11,0.0,0.0,0.0,0.0,0.0,0.0,3394217.8833152913
NO 25/11-G-13 Y1,NO 25/11-G-13 Y,2009-10-20,,0.0,0.0,0.0,1489778.0,245409.0,67224.25294421872,42555.59341261441,159661.77960004623,226455.8629138841,100512.53,181324.31,62609.66,106402.28,21349.56,82700.48,24143.070000000003,42345.76,2852472.1388707636
NO 25/11-G-15 AY1,NO 25/11-G-15 AY,2009-03-16,2019-08-25,0.0,0.0,451775.0,2617988.0,1183688.0,401901.0644649905,138845.55068259058,98716.26718832098,184656.99640531334,79741.29,97135.81999999999,4681.639999999999,0.0,0.0,0.24,0.13,0.0,5259129.998741215
NO 25/11-G-16 AY1,NO 25/11-G-16 AY,2017-09-11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.08,336970.06,183295.37,243540.88,81062.61000000002,115036.70999999999,960782.71
NO 25/11-G-16 Y1,NO 25/11-G-16 Y,2008-11-16,2017-05-16,0.0,0.0,980712.0,2006558.0,622906.0,121668.91940639008,121943.82450586568,28655.55779433538,56158.00119394873,23931.539999999997,51554.85,1123.46,0.0,0.0,0.0,0.0,0.0,4015212.15290054
NO 25/11-G-17 CY2T4,NO 25/11-G-17 CY,2012-12-07,,0.0,0.0,0.0,0.0,512850.0,697383.3432160686,282866.8597566321,118931.7792679505,246615.83343869558,112462.01999999999,195778.45,92472.4,127521.77,55907.520000000004,94097.02,47192.04,48446.29000000001,2632525.325679347
NO 25/11-G-17 T2,NO 25/11-G-17,2004-02-21,2012-05-11,832328.0,792856.0,296475.0,151216.0,34827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107702.0
NO 25/11-G-18,NO 25/11-G-18,2003-12-11,2016-12-02,1348054.0,1701860.0,661996.0,360724.0,176802.0,5124.95952102249,0.47813695,0.0,352.56875156641905,0.0,76.95,0.0,0.0,0.0,0.0,0.0,0.0,4254990.956409539
NO 25/11-G-18 AY1,NO 25/11-G-18 AY,2017-02-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200434.91999999998,265056.61000000004,340429.68,137315.39999999997,222595.01,88237.35,109447.04000000001,1363516.01
NO 25/11-G-19,NO 25/11-G-19,2004-02-24,2014-03-04,778011.0,1456806.0,1101715.0,633652.0,124684.0,0.6131489568954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094868.613148957
