PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-1 Y1,NO 25/11-G-1 Y,2008-05-22,,0.0,0.0,407326.0,595386.0,429914.0,51247.17999999999,45176.48999999999,215080.25,662255.55,266451.29,277100.57,76501.46,293968.5,135657.45,240263.65,69368.83,173068.34,3938765.56
NO 25/11-G-2 BY1,NO 25/11-G-2 BY,2015-05-18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336036.66,421659.19,205634.71000000002,408989.9,190480.0,319466.87,166160.66999999998,268349.41,126962.94,274275.22000000003,2718015.5700000003
NO 25/11-G-2 Y1,NO 25/11-G-2 Y,2007-08-06,2014-12-08,0.0,0.0,494982.0,209881.0,151144.0,174736.56,43890.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074634.1
NO 25/11-G-3 AY1T2,NO 25/11-G-3 AY,2010-04-09,,0.0,0.0,0.0,268926.0,193399.0,84658.18,96710.32,61114.98,227603.54,73414.34999999999,275817.55000000005,74619.74000000002,118378.36000000002,73501.14,116964.15,37244.27,15054.080000000002,1717405.6600000001
NO 25/11-G-4,NO 25/11-G-4,2015-02-10,2015-02-27,0.0,0.0,0.0,0.0,0.0,0.0,792.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.22
NO 25/11-G-5 BY1T2,NO 25/11-G-5 BY,2012-01-16,2018-08-30,0.0,0.0,0.0,0.0,287751.0,347766.92000000004,169535.71999999997,99187.87,229476.43,93506.93,111326.10999999999,27932.68,0.0,53.03,0.0,0.0,0.0,1366536.69
NO 25/11-G-5 CY1,NO 25/11-G-5 CY,2019-05-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129079.86000000002,256890.24000000002,385970.1
NO 25/11-G-5 T2,NO 25/11-G-5,2005-03-19,2009-11-27,4060.0,367475.0,6449.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377992.0
NO 25/11-G-6,NO 25/11-G-6,2004-09-01,2016-05-15,636883.0,1621062.0,914035.0,206018.0,476044.0,282623.52,162633.31,8258.36,63869.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4371427.1899999995
NO 25/11-G-6 AY1,NO 25/11-G-6 AY,2016-08-30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35585.15,694103.71,293304.9599999999,575973.6300000001,236826.74000000002,302016.65,117707.13000000002,70088.20000000001,2325606.17
NO 25/11-G-7 AY1T2,NO 25/11-G-7 AY,2010-12-20,2019-05-31,0.0,0.0,0.0,255708.0,1634361.0,1158450.25,440266.17000000004,256114.18,367340.28,158975.77000000002,620606.51,325385.55999999994,636256.4299999999,292407.94000000006,493994.88,22744.629999999997,0.0,6662611.6
NO 25/11-G-7 CY1,NO 25/11-G-7 CY,2020-02-13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27376.289999999997,27376.289999999997
NO 25/11-G-8 BY1,NO 25/11-G-8 BY,2015-08-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15207.36,88546.93999999999,29306.04,43887.53,6396.22,4888.719999999999,1750.9100000000005,2239.02,19857.75,36232.8,248313.29
