,interval.equipment,interval.mdBottom,interval.mdTop,interval.wellbore
625,Screen - generic,3905.45,3731.335,NO 25/11-G-1 Y1
626,Screen w. Swell Packer - generic,3917.973,3905.45,NO 25/11-G-1 Y1
627,Screen - generic,4240.67,3917.973,NO 25/11-G-1 Y1
628,Screen w. Swell Packer - generic,4253.051,4240.67,NO 25/11-G-1 Y1
629,Screen w. Swell Packer - generic,4265.567,4253.051,NO 25/11-G-1 Y1
630,Screen w. Swell Packer - generic,4278.074,4265.567,NO 25/11-G-1 Y1
511,Screen - generic,4901.81,4401.389,NO 25/11-G-1 Y3T2
512,Screen - generic,4988.933,4901.81,NO 25/11-G-1 Y3T2
513,Screen - generic,5560.552,4988.933,NO 25/11-G-1 Y3T2
470,Screen - generic,3673.804,3600.068,NO 25/11-G-1 Y4T2
471,Screen w. Swell Packer - generic,3686.313,3673.804,NO 25/11-G-1 Y4T2
472,Screen - generic,3723.734,3686.313,NO 25/11-G-1 Y4T2
473,Screen w. Swell Packer - generic,3735.252,3723.734,NO 25/11-G-1 Y4T2
474,Screen - generic,3796.755,3735.252,NO 25/11-G-1 Y4T2
475,Screen - generic,4748.988,4325.681,NO 25/11-G-1 Y4T2
1103,Screen - generic,2290.082,2278.084,NO 25/11-G-10 AY1T2
1104,Screen - generic,2325.86,2302.043,NO 25/11-G-10 AY1T2
1105,Screen - generic,2361.317,2337.815,NO 25/11-G-10 AY1T2
1106,Screen - generic,2397.067,2373.263,NO 25/11-G-10 AY1T2
1107,Screen - generic,2432.87,2409.062,NO 25/11-G-10 AY1T2
1108,Screen - generic,2468.866,2444.871,NO 25/11-G-10 AY1T2
1109,Screen - generic,2504.425,2480.824,NO 25/11-G-10 AY1T2
1110,Screen - generic,2540.248,2516.436,NO 25/11-G-10 AY1T2
1111,Screen - generic,2576.212,2552.204,NO 25/11-G-10 AY1T2
1112,Screen - generic,2611.967,2588.173,NO 25/11-G-10 AY1T2
1113,Screen - generic,2646.596,2634.796,NO 25/11-G-10 AY1T2
1114,Screen - generic,2670.575,2658.559,NO 25/11-G-10 AY1T2
1115,Screen - generic,2706.066,2694.255,NO 25/11-G-10 AY1T2
1116,Screen - generic,2741.882,2730.081,NO 25/11-G-10 AY1T2
1117,Screen - generic,2777.646,2765.848,NO 25/11-G-10 AY1T2
1118,Screen - generic,2813.335,2801.62,NO 25/11-G-10 AY1T2
1119,Screen - generic,2837.351,2825.344,NO 25/11-G-10 AY1T2
1120,Screen - generic,2861.183,2849.373,NO 25/11-G-10 AY1T2
1121,Screen - generic,2885.152,2873.142,NO 25/11-G-10 AY1T2
1122,Screen - generic,2908.973,2896.97,NO 25/11-G-10 AY1T2
1123,Screen - generic,2932.942,2920.926,NO 25/11-G-10 AY1T2
1124,Screen - generic,2956.895,2944.889,NO 25/11-G-10 AY1T2
1125,Screen - generic,2992.623,2980.604,NO 25/11-G-10 AY1T2
1126,Screen - generic,3028.397,3016.588,NO 25/11-G-10 AY1T2
1127,Screen - generic,3064.116,3052.429,NO 25/11-G-10 AY1T2
1128,Screen - generic,3099.955,3087.948,NO 25/11-G-10 AY1T2
1129,Screen - generic,3135.699,3123.9,NO 25/11-G-10 AY1T2
1130,Screen - generic,3171.277,3159.465,NO 25/11-G-10 AY1T2
1069,Screen - generic,2398.802,2375.056,NO 25/11-G-10 AY2T3
1070,Screen - generic,2588.646,2458.688,NO 25/11-G-10 AY2T3
1071,Screen w. Swell Packer - generic,2600.354,2588.646,NO 25/11-G-10 AY2T3
1072,Screen - generic,2636.379,2624.365,NO 25/11-G-10 AY2T3
1073,Screen - generic,2660.392,2648.388,NO 25/11-G-10 AY2T3
287,Screen - generic,2272.045,2189.27,NO 25/11-G-10 AY3T2
288,Screen - generic,2414.87,2391.123,NO 25/11-G-10 AY3T2
289,Screen - generic,2450.294,2426.838,NO 25/11-G-10 AY3T2
290,Screen - generic,2486.014,2462.258,NO 25/11-G-10 AY3T2
