,wellbore.name,wellbore.rms_name,wellbore.short_name,wellbore.slot_name,wellbore.field,wellbore.type,wellbore.rkb,wellbore.drilling_end_date,wellbore.fluids,wellbore.well_name,wellbore.pick_name,wellbore.pick_md
0,NO 25/11-G-2 A,25_11-G-2_A,G-2A,NO 25/11-G-2,Grane,observation,69.9,2015-03-21,oil,NO 25/11-G-2 A,toplowerheimdal--depthsurface,3489.341611773989
1,NO 25/11-G-11 CT2,25_11-G-11_CT2,G-11CT2,NO 25/11-G-11,Grane,production,69.9,2013-06-19,oil,NO 25/11-G-11 C,toplowerheimdal--depthsurface,2378.3491512017067
2,NO 25/11-G-35 BY2,25_11-G-35_BY2,G-35BY2,NO 25/11-G-35,Grane,production,69.9,2018-10-11,oil,NO 25/11-G-35 BY,toplowerheimdal--depthsurface,2266.6702606164076
3,NO 25/11-G-17 CY1,25_11-G-17_CY1,G-17CY1,NO 25/11-G-17,Grane,production,69.9,2012-09-30,oil,NO 25/11-G-17 CY,toplowerheimdal--depthsurface,2031.3796070395372
4,NO 25/11-G-5 CY2T2,25_11-G-5_CY2T2,G-5CY2T2,NO 25/11-G-5,Grane,production,69.9,2019-04-03,,NO 25/11-G-5 CY,toplowerheimdal--depthsurface,2129.9672564416223
5,NO 25/11-G-9 AY3,25_11-G-9_AY3,G-9AY3,NO 25/11-G-9,Grane,production,69.9,,,NO 25/11-G-9 AY,toplowerheimdal--depthsurface,4152.235885543483
6,NO 25/11-G-13 Y3T3,25_11-G-13_Y3T3,G-13Y3T3,NO 25/11-G-13,Grane,production,69.9,2009-08-28,oil,NO 25/11-G-13 Y,toplowerheimdal--depthsurface,4559.3971164083505
7,NO 25/11-G-5 CY1,25_11-G-5_CY1,G-5CY1,NO 25/11-G-5,Grane,production,69.9,2019-02-22,oil,NO 25/11-G-5 CY,toplowerheimdal--depthsurface,2130.112882910776
8,NO 25/11-G-3 AY3T2,25_11-G-3_AY3T2,G-3AY3T2,NO 25/11-G-3,Grane,production,69.9,2010-03-16,oil,NO 25/11-G-3 AY,toplowerheimdal--depthsurface,3346.2200940095613
9,NO 25/11-G-5 BY2,25_11-G-5_BY2,G-5BY2,NO 25/11-G-5,Grane,production,69.9,2011-11-26,oil,NO 25/11-G-5 BY,toplowerheimdal--depthsurface,2000.2178197514272
10,NO 25/11-G-22 AT2,25_11-G-22_AT2,G-22AT2,NO 25/11-G-22,Grane,observation,69.9,2016-02-19,oil,NO 25/11-G-22 A,toplowerheimdal--depthsurface,1955.5984810836276
11,NO 25/11-G-41,25_11-G-41,G-41,NO 25/11-G-41,Grane,injection,69.9,2010-06-04,not applicable,NO 25/11-G-41,toplowerheimdal--depthsurface,1889.5518565281973
12,NO 25/11-G-22 A,25_11-G-22_A,G-22A,NO 25/11-G-22,Grane,observation,69.9,2016-02-17,oil,NO 25/11-G-22 A,toplowerheimdal--depthsurface,1947.4157900818275
13,NO 25/11-G-4,25_11-G-4,G-4,NO 25/11-G-4,Grane,injection,69.9,2015-01-12,gas,NO 25/11-G-4,toplowerheimdal--depthsurface,
14,NO 25/11-G-34 AY3T3,25_11-G-34_AY3T3,G-34AY3T3,NO 25/11-G-34,Grane,production,69.9,2019-01-13,,NO 25/11-G-34 AY,toplowerheimdal--depthsurface,2397.2014448206987
15,NO 25/11-G-39 BY1,25_11-G-39_BY1,G-39BY1,NO 25/11-G-39,Grane,production,69.9,2007-09-17,oil,NO 25/11-G-39 BY,toplowerheimdal--depthsurface,4194.983682609659
16,NO 25/11-G-12 AY2,25_11-G-12_AY2,G-12AY2,NO 25/11-G-12,Grane,production,69.9,2016-11-30,oil,NO 25/11-G-12 AY,toplowerheimdal--depthsurface,3060.1526880134493
17,NO 25/11-G-16 Y1,25_11-G-16_Y1,G-16Y1,NO 25/11-G-16,Grane,production,69.9,2008-09-11,not applicable,NO 25/11-G-16 Y,toplowerheimdal--depthsurface,2620.6788631403056
18,NO 25/11-G-29,25_11-G-29,G-29,NO 25/11-G-29,Grane,production,69.9,2017-05-19,oil,NO 25/11-G-29,toplowerheimdal--depthsurface,2141.8685473838964
19,NO 25/11-21 A,25_11-21_A,21A,NO 25/11-21,Grane,appraisal,26.0,1996-10-01,oil,NO 25/11-21 A,toplowerheimdal--depthsurface,1837.1750847900828
20,NO 25/11-G-16 Y2T2,25_11-G-16_Y2T2,G-16Y2T2,NO 25/11-G-16,Grane,production,69.9,2008-10-05,oil,NO 25/11-G-16 Y,toplowerheimdal--depthsurface,2620.918287443917
21,NO 25/11-G-19,25_11-G-19,G-19,NO 25/11-G-19,Grane,production,69.9,2002-06-26,oil,NO 25/11-G-19,toplowerheimdal--depthsurface,1950.0029164583502
22,NO 25/11-G-19 EY1,25_11-G-19_EY1,G-19EY1,NO 25/11-G-19,Grane,production,69.9,2014-08-16,oil,NO 25/11-G-19 EY,toplowerheimdal--depthsurface,1950.888098311103
23,NO 25/11-G-8 T2,25_11-G-8_T2,G-8T2,NO 25/11-G-8,Grane,production,69.9,2005-11-27,oil,NO 25/11-G-8,toplowerheimdal--depthsurface,3008.012230357295
